ID,tier_1,tier_2,attribute,wine1,wine2,wine3,wine4,wine5
155,Caramel Aromas,Caramel,Butterscotch,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Caymus Cabernet Sauvignon Score: 97 Price: 136,Au Bon Climat Chardonnay Score: 96 Price: 35,Williams Selyem Chardonnay Score: 96 Price: 65,Renieri White Blend Score: 96 Price: 70
185,Caramel Aromas,Caramel,Caramel,Shafer Cabernet Sauvignon Score: 100 Price: 215,R.L. Buller & Son Tokay Score: 98 Price: 86,Château Climens Bordeaux-style White Blend Score: 98 Price: 200,Rochioli Chardonnay Score: 97 Price: 60,Caymus Cabernet Sauvignon Score: 97 Price: 136
215,Caramel Aromas,Caramel,Chocolate,Giovanni Chiappini Red Blend Score: 100 Price: 195,Tenuta dell'Ornellaia Merlot Score: 100 Price: 460,Trefethen Cabernet Sauvignon Score: 99 Price: 100,Tenuta dell'Ornellaia Red Blend Score: 99 Price: 200,Harlan Estate Cabernet Blend Score: 99 Price: 245
275,Caramel Aromas,Caramel,Diacetyl (Butter),Flowers Pinot Noir Score: 98 Price: 70,Schramsberg Champagne Blend Score: 97 Price: 175,Iron Horse Sparkling Blend Score: 97 Price: 189,Au Bon Climat Chardonnay Score: 96 Price: 35,Williams Selyem Chardonnay Score: 96 Price: 50
436,Caramel Aromas,Caramel,Honey,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Chambers Rosewood Vineyards Muscat Score: 100 Price: 300,R.L. Buller & Son Tokay Score: 98 Price: 86,Rochioli Chardonnay Score: 97 Price: 60,Livio Felluga Picolit Score: 97 Price: 90
536,Caramel Aromas,Caramel,Molasses,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Chambers Rosewood Vineyards Muscat Score: 100 Price: 300,Avignonesi Prugnolo Gentile Score: 99 Price: 237,Campbells Tokay Score: 98 Price: 97,Campbells Muscat Score: 97 Price: 97
740,Caramel Aromas,Caramel,Soy Sauce,Stolo Syrah Score: 96 Price: 40,K Vintners Cabernet Sauvignon-Syrah Score: 96 Price: 60,K Vintners Syrah Score: 96 Price: 100,Alloro Pinot Noir Score: 95 Price: 45,Foxen Pinot Noir Score: 95 Price: 48
1,Chemical Smells,Pungent,Acetic Acid,Il Poggione Sangiovese Score: 89 Price: 62,Barnett Pinot Noir Score: 87 Price: 55,Schloss Vollrads Riesling Score: 87 Price: 170,Maximin Grünhäuser Riesling Score: 85 Price: 35,Lake Chelan Pinot Noir Score: 83 Price: 32
135,Chemical Smells,Sulfur,Burnt Match,Finca Allende Tempranillo Score: 96 Price: 184,Aia Vecchia Red Blend Score: 95 Price: 40,Tamarack Cellars Red Blend Score: 95 Price: 50,Maurodos Tinta de Toro Score: 95 Price: 67,OS Winery Riesling Score: 93 Price: 15
165,Chemical Smells,Sulfur,Cabbage,Yarra Yering Bordeaux-style Red Blend Score: 90 Price: 85,Huber Spätburgunder Score: 88 Price: 104,M. Cosentino Sauvignon Blanc Score: 87 Price: 25,Polkura Syrah Score: 86 Price: 23,Odfjell Merlot Score: 84 Price: 12
285,Chemical Smells,Petroleum,Diesel,Von Othegraven Riesling Score: 94 Price: 50,Zocker Riesling Score: 92 Price: 20,Smith-Madrone Riesling Score: 92 Price: 25,Högl Riesling Score: 92 Price: 38,Thomas Fogarty Chardonnay Score: 92 Price: 45
367,Chemical Smells,Sulfur,Garlic,Arnaldo Caprai Sagrantino Score: 95 Price: 100,Foxen 7200 Cabernet Sauvignon Score: 93 Price: 54,Rocca delle Macìe Sangiovese Score: 91 Price: 25,Alvear Pedro Ximénez Score: 90 Price: 11,Pazos del Rey Godello Score: 90 Price: 14
456,Chemical Smells,Petroleum,Kerosene,Bouchard Père & Fils Chardonnay Score: 95 Price: 140,Mönchhof Riesling Score: 91 Price: 20,Spy Valley Riesling Score: 91 Price: 20,Dopff & Irion Riesling Score: 91 Price: 32,Schloss Vollrads Riesling Score: 91 Price: 50
617,Chemical Smells,Petroleum,Petroleum,J. Bookwalter Riesling Score: 91 Price: 15,Dr. H. Thanisch (Erben Müller-Burggraef) Riesling Score: 91 Price: 28,Maximin Grünhäuser Riesling Score: 90 Price: 29,Wittmann Riesling Score: 89 Price: 54,Fox Run Riesling Score: 88 Price: 14
647,Chemical Smells,Petroleum,Plastic,Bodega Catena Zapata Malbec Score: 92 Price: 110,Soléna Pinot Noir Score: 91 Price: 50,Flying Trout Red Blend Score: 90 Price: 27,Riglos Cabernet Franc Score: 89 Price: 35,Ken Wright Pinot Noir Score: 89 Price: 50
707,Chemical Smells,Sulfur,Rubbery,Ferrer Bobet Carignan Score: 94 Price: 105,Matetic Syrah Score: 93 Price: 86,Numanthia Tinta de Toro Score: 92 Price: 30,Concha y Toro Cabernet Sauvignon Score: 92 Price: 37,Concha y Toro Cabernet Sauvignon Score: 92 Price: 50
780,Chemical Smells,Sulfur,Sulfur,Joh. Jos. Prüm Riesling Score: 94 Price: 60,F X Pichler Grüner Veltliner Score: 94 Price: 68,La Clarine Farm Mourvèdre Score: 93 Price: 22,Nickel & Nickel Cabernet Sauvignon Score: 92 Price: 75,García Figuero Tempranillo Score: 92 Price: 100
790,Chemical Smells,Pungent,Sulfur Dioxide,Domaine Weinbach Pinot Blanc Score: 90 Price: 20,Domaine Zind-Humbrecht Riesling Score: 90 Price: 26,Deakin Estate Muscat of Alexandria Score: 86 Price: 7,Mont Marçal Sparkling Blend Score: 86 Price: 15,Jacob's Creek Moscato Score: 84 Price: 8
807,Chemical Smells,Petroleum,Tar,Quilceda Creek Cabernet Sauvignon Score: 98 Price: 135,Altesino Sangiovese Score: 97 Price: 125,K Vintners Syrah Score: 96 Price: 100,Gianni Voerzio Nebbiolo Score: 96 Price: 125,Gaja Nebbiolo Score: 96 Price: 495
255,Earthy Aromas,Moldy,Cork,Cayuse Syrah Score: 97 Price: 70,J. Bookwalter Bordeaux-style Red Blend Score: 96 Price: 55,Quilceda Creek Cabernet Sauvignon Score: 96 Price: 115,Longoria Pinot Noir Score: 95 Price: 48,Williams Selyem Pinot Noir Score: 95 Price: 56
305,Earthy Aromas,Earthy,Dusty,Williams Selyem Pinot Noir Score: 100 Price: 100,Williams Selyem Pinot Noir Score: 99 Price: 94,Quilceda Creek Cabernet Sauvignon Score: 98 Price: 125,Torbreck Shiraz Score: 98 Price: 125,Louis Jadot Pinot Noir Score: 98 Price: 134
546,Earthy Aromas,Moldy,Moldy,J Vineyards & Winery Pinot Noir Score: 89 Price: 75,Robert Stemmler Chardonnay Score: 84 Price: 34,Bixler Vineyards White Blend Score: 82 Price: 15,Holly's Hill Mourvèdre Score: 81 Price: 20,Holly's Hill G-S-M Score: 81 Price: 30
557,Earthy Aromas,Earthy,Mushroom,W.H. Smith Pinot Noir Score: 98 Price: 52,Evening Land Pinot Noir Score: 98 Price: 150,Cayuse Syrah Score: 97 Price: 70,Samsara Pinot Noir Score: 96 Price: 44,Williams Selyem Pinot Noir Score: 96 Price: 55
337,Floral Aromas,Floral,Floral,Cayuse Syrah Score: 99 Price: 65,Charles Smith Syrah Score: 99 Price: 140,Williams Selyem Pinot Noir Score: 98 Price: 75,Melville Pinot Noir Score: 97 Price: 52,Campbells Muscat Score: 97 Price: 97
377,Floral Aromas,Floral,Geranium,Domaine Zind-Humbrecht Gewürztraminer Score: 92 Price: 48,Glasshaus Pinot Noir Score: 90 Price: 40,Ouled Thaleb Chardonnay Score: 88 Price: 18,Quinta de Ventozelo Port Score: 88 Price: 25,Thomas Fogarty Gewürztraminer Score: 87 Price: 18
587,Floral Aromas,Floral,Orange Blossom,Williams Selyem Pinot Noir Score: 97 Price: 78,Von Strasser Red Blend Score: 97 Price: 100,Ramey Chardonnay Score: 96 Price: 65,Dobogó Tokaji Score: 96 Price: 125,Longboard Sémillon Score: 95 Price: 35
697,Floral Aromas,Floral,Rose,Mascarello Giuseppe e Figlio Nebbiolo Score: 99 Price: 175,Il Marroneto Sangiovese Score: 99 Price: 200,Williams Selyem Pinot Noir Score: 98 Price: 75,Williams Selyem Pinot Noir Score: 97 Price: 59,Cayuse Syrah Score: 97 Price: 70
867,Floral Aromas,Floral,Violet,Conti Costanti Sangiovese Score: 98 Price: 95,Isole e Olena Red Blend Score: 96 Price: 27,Baricci Sangiovese Score: 96 Price: 50,Epoch Estate Wines Syrah Score: 96 Price: 90,Staglin Cabernet Sauvignon Score: 96 Price: 175
27,Fruit Aromas,Tree Fruit,Apple,Domaine Leflaive Chardonnay Score: 98 Price: 411,Ramey Chardonnay Score: 97 Price: 65,Louis Roederer Champagne Blend Score: 97 Price: 249,Louis Jadot Chardonnay Score: 97 Price: 330,Domaine Leflaive Chardonnay Score: 97 Price: 410
37,Fruit Aromas,Tree Fruit,Apricot,Pol Roger Champagne Blend Score: 97 Price: 275,Domaine Leflaive Chardonnay Score: 97 Price: 430,Schloss Johannisberger Riesling Score: 97 Price: 445,Boekenoogen Chardonnay Score: 96 Price: 34,Williams Selyem Muscat Score: 96 Price: 40
75,Fruit Aromas,Tropical Fruit,Banana,Au Bon Climat Chardonnay Score: 96 Price: 35,Donnafugata Zibibbo Score: 95 Price: 38,Foundry Vineyards Chardonnay Score: 94 Price: 24,Owen Roe Sémillon Score: 93 Price: 48,Novelty Hill Chardonnay Score: 92 Price: 22
95,Fruit Aromas,Berry,Black Currant,Cardinale Cabernet Sauvignon Score: 100 Price: 200,Shafer Cabernet Sauvignon Score: 100 Price: 215,Sloan Cabernet Blend Score: 100 Price: 245,Cayuse Syrah Score: 99 Price: 75,Williams Selyem Pinot Noir Score: 99 Price: 75
115,Fruit Aromas,Berry,Blackberry,Tenuta dell'Ornellaia Merlot Score: 100 Price: 460,Tenuta dell'Ornellaia Merlot Score: 99 Price: 250,Coup de Foudre Cabernet Sauvignon Score: 98 Price: 75,The Maiden Cabernet Blend Score: 98 Price: 95,Château Léoville Barton Bordeaux-style Red Blend Score: 98 Price: 135
205,Fruit Aromas,Tree Fruit,Cherry,Tenuta dell'Ornellaia Merlot Score: 100 Price: 460,Williams Selyem Pinot Noir Score: 99 Price: 75,Charles Smith Syrah Score: 99 Price: 140,Mascarello Giuseppe e Figlio Nebbiolo Score: 99 Price: 175,Il Marroneto Sangiovese Score: 99 Price: 200
225,Fruit Aromas,Citrus,Citrus,Williams Selyem Pinot Noir Score: 100 Price: 100,Pirouette Bordeaux-style Red Blend Score: 98 Price: 50,Merry Edwards Pinot Noir Score: 98 Price: 57,Cayuse Syrah Score: 98 Price: 65,Williams Selyem Pinot Noir Score: 98 Price: 69
327,Fruit Aromas,Dried Fruit,Fig,Bodegas Roda Tempranillo Score: 97 Price: 250,Chambers Rosewood Vineyards Muscadel Score: 97 Price: 300,Corliss Estates Syrah Score: 96 Price: 55,Laetitia Pinot Noir Score: 96 Price: 60,Sineann Pinot Noir Score: 96 Price: 72
357,Fruit Aromas,NULL,Fruit Aromas,Cayuse Syrah Score: 99 Price: 65,Château Latour Bordeaux-style Red Blend Score: 99 Price: 2300,W.H. Smith Pinot Noir Score: 98 Price: 52,Charles Smith Syrah Score: 98 Price: 120,Redmon Cabernet Sauvignon Score: 97 Price: 65
386,Fruit Aromas,Citrus,Grapefruit,Pol Roger Champagne Blend Score: 97 Price: 275,Leonetti Cellar Cabernet Sauvignon Score: 96 Price: 80,Emmerich Knoll Grüner Veltliner Score: 96 Price: 92,Domaine de Chevalier Bordeaux-style White Blend Score: 96 Price: 100,Salon Chardonnay Score: 96 Price: 400
476,Fruit Aromas,Citrus,Lemon,Kracher Chardonnay Score: 97 Price: 90,Domaine Leflaive Chardonnay Score: 97 Price: 430,Efeste Chardonnay Score: 96 Price: 30,Boekenoogen Chardonnay Score: 96 Price: 34,Williams Selyem Muscat Score: 96 Price: 40
506,Fruit Aromas,Tropical Fruit,Melon,Ken Wright Pinot Noir Score: 96 Price: 63,Dunham Riesling Score: 95 Price: 20,Klein Constantia Muscat Score: 95 Price: 90,Prinz Salm Riesling Score: 95 Price: 237,Poet's Leap Riesling Score: 94 Price: 20
607,Fruit Aromas,Tree Fruit,Peach,Domaine Leflaive Chardonnay Score: 98 Price: 410,Williams Selyem Chardonnay Score: 97 Price: 50,Henriot Champagne Blend Score: 97 Price: 185,Louis Jadot Chardonnay Score: 97 Price: 330,Schloss Johannisberger Riesling Score: 97 Price: 486
637,Fruit Aromas,Tropical Fruit,Pineapple,Geh. Rat Dr. von Bassermann-Jordan Riesling Score: 97 Price: 245,Domaine Leflaive Chardonnay Score: 97 Price: 574,Robert Weil Riesling Score: 97 Price: 612,Fess Parker Chardonnay Score: 96 Price: 28,Rusack Chardonnay Score: 96 Price: 32
657,Fruit Aromas,Dried Fruit,Prune,Emilio Moro Tinto Fino Score: 98 Price: 450,Tenuta San Guido Red Blend Score: 97 Price: 220,Sineann Pinot Noir Score: 96 Price: 72,Poggio al Tesoro Cabernet Franc Score: 96 Price: 90,Le Macchiole Cabernet Franc Score: 96 Price: 125
667,Fruit Aromas,Dried Fruit,Raisin,Campbells Muscat Score: 97 Price: 85,Goldschmidt Cabernet Sauvignon Score: 97 Price: 85,Schloss Johannisberger Riesling Score: 97 Price: 445,Robert Weil Riesling Score: 97 Price: 612,Capezzana White Blend Score: 96 Price: 55
677,Fruit Aromas,Berry,Raspberry,Williams Selyem Pinot Noir Score: 99 Price: 75,Mascarello Giuseppe e Figlio Nebbiolo Score: 99 Price: 175,Il Marroneto Sangiovese Score: 99 Price: 200,Williams Selyem Pinot Noir Score: 98 Price: 75,Williams Selyem Pinot Noir Score: 98 Price: 94
760,Fruit Aromas,Berry,Strawberry,Williams Selyem Pinot Noir Score: 98 Price: 69,Williams Selyem Pinot Noir Score: 98 Price: 75,Williams Selyem Pinot Noir Score: 97 Price: 59,Arista Pinot Noir Score: 97 Price: 90,The Eyrie Vineyards Pinot Noir Score: 96 Price: 85
770,Fruit Aromas,Dried Fruit,Strawberry Jam,Alvaro Palacios Red Blend Score: 98 Price: 440,Janzen Cabernet Sauvignon Score: 97 Price: 135,Williams Selyem Muscat Score: 96 Price: 40,Williams Selyem Pinot Noir Score: 96 Price: 55,Krupp Brothers Cabernet Sauvignon Score: 96 Price: 80
837,Fruit Aromas,Tree Fruit,Tree Fruit,Quilceda Creek Cabernet Sauvignon Score: 99 Price: 125,Casa Ferreirinha Portuguese Red Score: 99 Price: 426,Château Latour Bordeaux-style Red Blend Score: 99 Price: 2300,Le Macchiole Cabernet Franc Score: 98 Price: 130,Alvaro Palacios Red Blend Score: 98 Price: 440
847,Fruit Aromas,Tropical Fruit,Tropical Fruit,Gary Farrell Chardonnay Score: 96 Price: 41,Chateau St. Jean Chardonnay Score: 96 Price: 45,Williams Selyem Chardonnay Score: 96 Price: 50,Hanzell Chardonnay Score: 96 Price: 65,Williams Selyem Chardonnay Score: 96 Price: 65
47,Herbaceous or/Vegetative Aromas,Canned/Cooked,Artichoke,Castello di Monsanto Sangiovese Score: 87 Price: 16,L'Antica Quercia Glera Score: 87 Price: 20,Castelluccio Sangiovese Score: 86 Price: 14,Collemassari Red Blend Score: 86 Price: 17,Torre Raone Pecorino Score: 86 Price: 19
55,Herbaceous or/Vegetative Aromas,Canned/Cooked,Asparagus,Ardor Syrah Score: 94 Price: 50,Neumeister Sauvignon Blanc Score: 93 Price: 48,Gini Garganega Score: 91 Price: 35,Allan Scott Sauvignon Blanc Score: 90 Price: 15,Boschendal Sauvignon Blanc Score: 90 Price: 16
85,Herbaceous or/Vegetative Aromas,Fresh,Bell,Numanthia Tinta de Toro Score: 95 Price: 73,Falcone Cabernet Sauvignon Score: 93 Price: 35,Prieuré St. Jean de Bébian Rhône-style Red Blend Score: 93 Price: 45,Cape Mentelle Cabernet Sauvignon Score: 93 Price: 69,Bodega Renacer Malbec Score: 92 Price: 18
175,Herbaceous or/Vegetative Aromas,Canned/Cooked,Canned/Cooked,Henschke Shiraz Score: 96 Price: 550,Domaine Ostertag Pinot Gris Score: 95 Price: 83,Tenuta Sette Ponti Red Blend Score: 95 Price: 93,Domaine Marcel Deiss Alsace white blend Score: 94 Price: 34,Holman Ranch Pinot Noir Score: 94 Price: 38
265,Herbaceous or/Vegetative Aromas,Fresh,Cut Green Grass,Buty White Blend Score: 94 Price: 25,Two Sisters Chardonnay Score: 94 Price: 55,Gosset Champagne Blend Score: 94 Price: 85,Buty White Blend Score: 93 Price: 25,Brander Sauvignon Blanc Score: 93 Price: 30
295,Herbaceous or/Vegetative Aromas,Dried,Dried,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Avignonesi Prugnolo Gentile Score: 99 Price: 237,Harlan Estate Cabernet Blend Score: 99 Price: 245,Cayuse Cabernet Sauvignon Score: 98 Price: 70,Williams Selyem Pinot Noir Score: 98 Price: 90
317,Herbaceous or/Vegetative Aromas,Fresh,Eucalyptus,Corte Pavone Sangiovese Grosso Score: 96 Price: 75,Failla Pinot Noir Score: 95 Price: 40,Comartin Pinot Noir Score: 95 Price: 45,Castello di Ama Red Blend Score: 95 Price: 52,Podere Brizio Sangiovese Grosso Score: 95 Price: 70
347,Herbaceous or/Vegetative Aromas,Fresh,Fresh,Chambers Rosewood Vineyards Muscat Score: 100 Price: 300,Pirouette Bordeaux-style Red Blend Score: 98 Price: 50,Torbreck Shiraz Score: 98 Price: 125,Sea Smoke Pinot Noir Score: 97 Price: 80,Leonetti Cellar Cabernet Sauvignon Score: 97 Price: 85
396,Herbaceous or/Vegetative Aromas,Canned/Cooked,Green Beans,Aberrant Cellars Pinot Noir Score: 95 Price: 45,Justin Cabernet Sauvignon Score: 94 Price: 55,Felten Cellars Pinot Noir Score: 93 Price: 21,Kaleidos Rhône-style Red Blend Score: 93 Price: 38,Woodinville Wine Cellars Bordeaux-style Red Blend Score: 93 Price: 50
406,Herbaceous or/Vegetative Aromas,Canned/Cooked,Green/Black Olive,Torbreck Shiraz Score: 98 Price: 125,Abeja Cabernet Sauvignon Score: 97 Price: 85,Tenuta San Guido Red Blend Score: 97 Price: 220,Terra Valentine Cabernet Sauvignon Score: 96 Price: 50,Williams Selyem Pinot Noir Score: 96 Price: 55
416,Herbaceous or/Vegetative Aromas,Dried,Hay/Straw,Domaine Schoffit Pinot Gris Score: 95 Price: 90,Cave de Ribeauvillé Alsace white blend Score: 94 Price: 49,Royal Tokaji Furmint Score: 94 Price: 764,Upland Estates Sauvignon Blanc Score: 93 Price: 18,Trisaetum Riesling Score: 93 Price: 24
526,Herbaceous or/Vegetative Aromas,Fresh,Mint,Melville Pinot Noir Score: 97 Price: 52,Niepoort Port Score: 97 Price: 80,Quilceda Creek Cabernet Sauvignon Score: 97 Price: 95,Emilio Moro Tinto Fino Score: 97 Price: 150,Marchesi Antinori Red Blend Score: 97 Price: 325
817,Herbaceous or/Vegetative Aromas,Dried,Tea,Cayuse Syrah Score: 99 Price: 75,Merry Edwards Pinot Noir Score: 98 Price: 57,Williams Selyem Pinot Noir Score: 98 Price: 69,Cayuse Syrah Score: 98 Price: 75,Melville Pinot Noir Score: 97 Price: 52
827,Herbaceous or/Vegetative Aromas,Dried,Tobacco,Mascarello Giuseppe e Figlio Nebbiolo Score: 99 Price: 175,Il Marroneto Sangiovese Score: 99 Price: 200,Williams Selyem Pinot Noir Score: 98 Price: 75,Conti Costanti Sangiovese Score: 98 Price: 95,Marchesi Antinori Red Blend Score: 98 Price: 102
446,Microbiological Scents,Other,Horsey,El Agosto Mencía Score: 90 Price: 30,CVNE Tempranillo Score: 90 Price: 33,Finca Torremilanos Tempranillo Blend Score: 90 Price: 50,Enate Tempranillo-Cabernet Sauvignon Score: 89 Price: 20,Hugh Hamilton Cabernet Sauvignon Score: 89 Price: 20
466,Microbiological Scents,Yeasty,Leesy,Boekenoogen Chardonnay Score: 96 Price: 34,Talbott Chardonnay Score: 96 Price: 75,Iron Horse Sparkling Blend Score: 96 Price: 98,Hanzell Chardonnay Score: 96 Price: 180,Fess Parker Chardonnay Score: 95 Price: 28
552,Microbiological Scents,Other,Mousy,Tertulia Cabernet Sauvignon Score: 86 Price: 34,Capitello Pinot Gris Score: 85 Price: 18,Tertulia Merlot Score: 85 Price: 32,Left Coast Cellars Pinot Blanc Score: 84 Price: 18,Wilridge Cabernet Sauvignon Score: 81 Price: 29
717,Microbiological Scents,Lactic,Sauerkraut,Manilow Merlot Score: 87 Price: 15,Valdesil Godello Score: 87 Price: 18,Barcino Sparkling Blend Score: 86 Price: 16,Vilarnau Sparkling Blend Score: 86 Price: 18,Freixenet Sparkling Blend Score: 85 Price: 9
797,Microbiological Scents,Lactic,Sweaty,Dr. Pauly Bergweiler Riesling Score: 97 Price: 250,S.A. Prüm Riesling Score: 94 Price: 40,Saint Clair Sauvignon Blanc Score: 92 Price: 29,Cullen Sauvignon Blanc-Semillon Score: 91 Price: 35,Zerba Cellars Tempranillo Score: 91 Price: 38
887,Microbiological Scents,Lactic,Yogurt,Vincent Vineyards Sauvignon Blanc Score: 92 Price: 25,Testarossa Chardonnay Score: 92 Price: 48,Zaca Mesa Chardonnay Score: 91 Price: 16,Tenshen White Blend Score: 91 Price: 17,Greenwood Ridge Sauvignon Blanc Score: 91 Price: 18
17,Nut Aromas,Nutty,Almond,Livio Felluga Picolit Score: 97 Price: 90,Avignonesi White Blend Score: 97 Price: 170,Veuve Clicquot Ponsardin Champagne Blend Score: 97 Price: 208,Renieri White Blend Score: 96 Price: 70,Pol Roger Champagne Blend Score: 96 Price: 110
426,Nut Aromas,Nutty,Hazelnut,Iron Horse Sparkling Blend Score: 98 Price: 147,Vietti Nebbiolo Score: 97 Price: 130,JCB Cabernet Sauvignon Score: 97 Price: 150,Dutton-Goldfield Chardonnay Score: 96 Price: 45,Gary Farrell Chardonnay Score: 96 Price: 50
567,Nut Aromas,Nutty,Nutty,Joseph Phelps Chardonnay Score: 96 Price: 75,Marc Sorrel Marsanne Score: 95 Price: 145,Abeja Chardonnay Score: 94 Price: 36,Talbott Chardonnay Score: 94 Price: 60,Bruno Paillard Chardonnay Score: 94 Price: 90
877,Nut Aromas,Nutty,Walnut,Gérard Bertrand Red Blend Score: 95 Price: 350,Comm. G. B. Burlotto Nebbiolo Score: 94 Price: 63,Schramsberg Pinot Noir Score: 94 Price: 95,Rusack Chardonnay Score: 93 Price: 60,Wiese & Krohn Port Score: 93 Price: 80
7,Pungent Aromas,Hot,Alcohol,Sloan Cabernet Blend Score: 100 Price: 245,Williams Selyem Pinot Noir Score: 99 Price: 94,Colgin Red Blend Score: 99 Price: 290,Von Strasser Cabernet Sauvignon Score: 98 Price: 70,Charles Smith Syrah Score: 98 Price: 120
516,Pungent Aromas,Cool,Menthol,Quilceda Creek Cabernet Sauvignon Score: 97 Price: 95,Marchesi Antinori Red Blend Score: 97 Price: 325,Laetitia Pinot Noir Score: 96 Price: 60,Capanna Sangiovese Grosso Score: 96 Price: 80,Comartin Pinot Noir Score: 95 Price: 45
597,Sherry Aromas,Oxidized,Oxidized,Rusack Chardonnay Score: 93 Price: 60,Scubla Verduzzo Score: 92 Price: 18,Domaine Daniel Dugois Savagnin Score: 92 Price: 45,Piper-Heidsieck Champagne Blend Score: 92 Price: 120,Bodegas Dios Baco S.L. Sherry Score: 91 Price: 18
105,Spice Aromas,Spicy,Black Pepper,Tenuta San Guido Red Blend Score: 99 Price: 235,E. Guigal Syrah Score: 99 Price: 450,Merry Edwards Pinot Noir Score: 98 Price: 57,Williams Selyem Pinot Noir Score: 98 Price: 75,Standish Shiraz Score: 98 Price: 135
235,Spice Aromas,Spicy,Cloves,Merry Edwards Pinot Noir Score: 98 Price: 57,Hartford Court Pinot Noir Score: 95 Price: 85,Coghlan Pinot Noir Score: 94 Price: 40,B Cellars Cabernet Blend Score: 94 Price: 48,MacPhail Pinot Noir Score: 94 Price: 49
486,Spice Aromas,Spicy,Licorice/Anise,Williams Selyem Pinot Noir Score: 100 Price: 100,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Cayuse Syrah Score: 99 Price: 75,Williams Selyem Pinot Noir Score: 99 Price: 75,Mascarello Giuseppe e Figlio Nebbiolo Score: 99 Price: 175
750,Spice Aromas,Spicy,Spicy,Giovanni Chiappini Red Blend Score: 100 Price: 195,Sloan Cabernet Blend Score: 100 Price: 245,Tenuta dell'Ornellaia Merlot Score: 100 Price: 460,Williams Selyem Pinot Noir Score: 99 Price: 75,Charles Smith Syrah Score: 99 Price: 140
65,Wood Aromas,Phenolic,Bacon,Cayuse Syrah Score: 99 Price: 75,Williams Selyem Pinot Noir Score: 98 Price: 90,Evening Land Pinot Noir Score: 98 Price: 150,Sequana Pinot Noir Score: 97 Price: 50,Failla Pinot Noir Score: 97 Price: 70
125,Wood Aromas,Burned,Burned,Sinor-LaVallee Chardonnay Score: 93 Price: 24,Mattina Fiore G-S-M Score: 91 Price: 50,Babcock Pinot Noir Score: 91 Price: 60,Chateau Ste. Michelle Chardonnay Score: 89 Price: 20,Caliza Roussanne-Viognier Score: 88 Price: 28
145,Wood Aromas,Burned,Burnt Toast,Château Haut-Brion Bordeaux-style White Blend Score: 100 Price: 848,Trefethen Cabernet Sauvignon Score: 99 Price: 100,David Arthur Cabernet Sauvignon Score: 99 Price: 150,Flowers Pinot Noir Score: 98 Price: 70,Von Strasser Cabernet Sauvignon Score: 98 Price: 70
195,Wood Aromas,Resinous,Cedar,Cardinale Cabernet Sauvignon Score: 100 Price: 200,Trefethen Cabernet Sauvignon Score: 99 Price: 100,Tenuta dell'Ornellaia Red Blend Score: 99 Price: 200,Tenuta San Guido Red Blend Score: 99 Price: 235,W.H. Smith Pinot Noir Score: 98 Price: 52
245,Wood Aromas,Burned,Coffee,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Chambers Rosewood Vineyards Muscat Score: 100 Price: 300,Cayuse Syrah Score: 99 Price: 75,Quilceda Creek Cabernet Sauvignon Score: 99 Price: 125,Cayuse Syrah Score: 98 Price: 75
496,Wood Aromas,Phenolic,Medicinal,Niepoort Port Score: 96 Price: 200,Col d'Orcia Cabernet Sauvignon Score: 95 Price: 75,Boudreaux Cellars Merlot Score: 94 Price: 40,Emilio Moro Tinto Fino Score: 94 Price: 50,Dow's Port Score: 94 Price: 98
577,Wood Aromas,Resinous,Oak,Avignonesi Prugnolo Gentile Score: 100 Price: 210,Shafer Cabernet Sauvignon Score: 100 Price: 215,Sloan Cabernet Blend Score: 100 Price: 245,Williams Selyem Pinot Noir Score: 99 Price: 94,David Arthur Cabernet Sauvignon Score: 99 Price: 150
627,Wood Aromas,Phenolic,Phenolic,Emmerich Knoll Riesling Score: 95 Price: 63,Emmerich Knoll Riesling Score: 95 Price: 73,Eder Grüner Veltliner Score: 94 Price: 27,Domaine Zind-Humbrecht Gewürztraminer Score: 94 Price: 90,Emmerich Knoll Grüner Veltliner Score: 94 Price: 1100
687,Wood Aromas,Resinous,Resinous,Gravner Ribolla Gialla Score: 93 Price: 120,Ca' del Solo Albariño Score: 91 Price: 20,Dezzani Barbera Score: 90 Price: 17,Château Signac Rhône-style Red Blend Score: 90 Price: 21,Barnard Griffin Syrah Score: 90 Price: 30
730,Wood Aromas,Burned,Smoky,Williams Selyem Pinot Noir Score: 100 Price: 100,Sloan Cabernet Blend Score: 100 Price: 245,Williams Selyem Pinot Noir Score: 99 Price: 75,Williams Selyem Pinot Noir Score: 99 Price: 94,Coup de Foudre Cabernet Sauvignon Score: 98 Price: 75
857,Wood Aromas,Resinous,Vanilla,Tenuta dell'Ornellaia Merlot Score: 100 Price: 460,Tenuta dell'Ornellaia Merlot Score: 99 Price: 250,Flowers Pinot Noir Score: 98 Price: 70,Williams Selyem Pinot Noir Score: 98 Price: 90,Louis Jadot Pinot Noir Score: 98 Price: 138
